beta,repeat,generation,unique_ratio,similarity
100.0,0,46,0.704,0.2225879606810155
100.0,0,371,0.32,0.3331096157223225
100.0,0,442,0.236,0.2652301111837617
100.0,0,146,0.622,0.1892375730661464
100.0,0,484,0.284,0.2238932806884481
100.0,0,188,0.416,0.21712188164382262
100.0,0,41,0.204,0.29485922473736925
100.0,0,480,0.26,0.272595398254513
100.0,0,11,0.876,0.09705317876442025
100.0,0,138,0.51,0.24287258656809912
100.0,0,209,0.348,0.16460171640276092
100.0,0,430,0.274,0.21435477254953456
100.0,0,134,0.512,0.20712446589970043
100.0,0,49,0.794,0.21841749956535797
100.0,0,472,0.262,0.35051877640597134
100.0,0,176,0.406,0.20083072020817475
100.0,0,19,0.864,0.11055036577076832
100.0,0,97,0.712,0.18133048389207973
100.0,0,289,0.356,0.22486617391263675
100.0,0,126,0.488,0.3192350960257205
100.0,0,14,0.874,0.0948766224376498
100.0,0,92,0.724,0.16038059741616678
100.0,0,122,0.562,0.20950747912685616
100.0,0,239,0.33,0.33626565147675375
100.0,0,460,0.278,0.24245542553048335
100.0,0,164,0.432,0.215875019293107
100.0,0,235,0.328,0.2210178269039829
100.0,0,160,0.472,0.15494917918380605
100.0,0,277,0.412,0.16957472535415719
100.0,0,114,0.472,0.28055249159399714
100.0,0,110,0.588,0.173297443525972
100.0,0,227,0.378,0.21575071339693272
100.0,0,17,0.864,0.1031929966970988
100.0,0,152,0.528,0.17719217183993016
100.0,0,223,0.402,0.2099664712904792
100.0,0,269,0.396,0.237065551903954
100.0,0,65,0.636,0.24301230151491648
100.0,0,194,0.37,0.2264680686920212
100.0,0,265,0.376,0.3037012193476176
100.0,0,190,0.382,0.26549721070222604
100.0,0,378,0.294,0.2522779725086672
100.0,0,60,0.692,0.15611190616199405
100.0,0,215,0.34,0.4312360582803174
100.0,0,140,0.51,0.22757367471988663
100.0,0,211,0.294,0.5169713520696784
100.0,0,328,0.42,0.3166210248031449
100.0,0,253,0.354,0.1994081255356828
100.0,0,68,0.7,0.1683693918244265
100.0,0,295,0.378,0.26947671279744295
100.0,0,366,0.352,0.22185392731140396
100.0,0,203,0.356,0.17191625147669046
100.0,0,291,0.404,0.21443305793505668
100.0,0,63,0.732,0.15077045553792762
100.0,0,316,0.372,0.2922386450405196
100.0,0,33,0.806,0.16085547727875993
100.0,0,241,0.348,0.1811025745000294
100.0,0,312,0.412,0.18387055089805152
100.0,0,358,0.328,0.24573103554221676
100.0,0,429,0.244,0.24913382995467293
100.0,0,283,0.372,0.2509475247949858
100.0,0,354,0.352,0.2378169733712137
100.0,0,5,0.69,0.1042837936824924
100.0,0,396,0.332,0.2037007584661923
100.0,0,2,0.038,0.2729322226594954
100.0,0,304,0.3,0.3155013649644817
100.0,0,392,0.346,0.2016311617302029
100.0,0,300,0.346,0.21339151309700416
100.0,0,346,0.402,0.22134485489049585
100.0,0,417,0.33,0.2273688190167987
100.0,0,36,0.8,0.13019302734799448
100.0,0,342,0.426,0.2570000234143664
100.0,0,459,0.32,0.23955179956705344
100.0,0,384,0.3,0.19864809716989595
100.0,0,455,0.302,0.20671866718868295
100.0,0,31,0.804,0.15188780026435458
